ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
ABLV,1099888.95,0.7305,2.856,2.656,2.664,2.464,4.233,4.033
ABTS,49572.5,1.52,5.713,5.513,6.705,6.505,10.0,9.8
ACXP,252896.0,2.34,3.093,2.893,3.0,2.8,4.985,4.785
ADVB,786582.65,4.55,2.216,2.016,1.76,1.56,2.211,2.011
AEHL,423342.4,0.7365,3.642,3.442,3.777,3.577,6.721,6.521
AFJK,40821.05,44.41,2.47,2.27,2.119,1.919,3.015,2.815
AGAE,30569363.05,0.64,1.893,1.693,1.302,1.102,1.188,0.988
AGPU,5030718.8,3.4609,1.901,1.701,1.314,1.114,1.215,1.015
AGRZ,870601.7,0.3534,3.656,3.456,3.796,3.596,6.763,6.563
AI,3953052.727272727,8.765000343322754,1.83,1.63,1.214,1.014,0.991,0.791
AIB,5326138.3,1.6533,2.009,1.809,1.468,1.268,1.557,1.357
AIDX,241853.05,1.83,3.288,3.088,3.276,3.076,5.601,5.401
AIFF,7749644.55,1.77,1.942,1.742,1.372,1.172,1.344,1.144
AIM,380994.7,0.5446,4.094,3.894,4.416,4.216,8.151,7.951
AIOS,3520622.65,0.6119,2.402,2.202,2.022,1.822,2.798,2.598
AIRS,1626286.4,2.7,2.174,1.974,1.7,1.5,2.076,1.876
AIXI,133521740.05,0.8432,1.743,1.543,1.09,0.89,0.714,0.514
AKTX,124456.1,4.6156,3.115,2.915,3.031,2.831,5.054,4.854
ALBT,800189.55,0.42,3.569,3.369,3.672,3.472,6.488,6.288
ALLO,14764027.7,2.3503,1.828,1.628,1.211,1.011,0.984,0.784
ALOT,58349.8,11.634900093078613,2.875,2.675,2.691,2.491,4.294,4.094
ALTS,2639852.1,0.9244,2.356,2.156,1.957,1.757,2.652,2.452
AMC,31607670.35,1.8695,1.785,1.585,1.15,0.95,0.847,0.647
ANNA,6520452.8,3.84,1.863,1.663,1.261,1.061,1.096,0.896
ANTX,363029.7,3.56,2.623,2.423,2.336,2.136,3.499,3.299
ARAI,25114588.25,0.8676,1.873,1.673,1.275,1.075,1.127,0.927
ARBE,1063066.75,0.8298,2.83,2.63,2.628,2.428,4.153,3.953
ARTL,6487496.55,5.079999923706055,1.835,1.635,1.22,1.02,1.005,0.805
ASNS,9236774.2,0.11500000208616257,2.725,2.525,2.479,2.279,3.819,3.619
ASPC,18138.4,11.6,4.077,3.877,4.392,4.192,8.097,7.897
ASTC,5828923.8,2.92,1.904,1.704,1.319,1.119,1.224,1.024
ATAI,4577267.1,5.235000133514404,1.866,1.666,1.265,1.065,1.105,0.905
ATCH,3616664.85,0.2694,2.773,2.573,2.547,2.347,3.971,3.771
ATOM,662129.1,5.35,2.234,2.034,1.785,1.585,2.267,2.067
ATPC,286786.35,2.54,2.95,2.75,2.798,2.598,4.531,4.331
ATRA,225295.15,5.27,2.666,2.466,2.396,2.196,3.634,3.434
AUUD,114812.85,4.6442,3.171,2.971,3.11,2.91,5.231,5.031
AZI,122958.6,1.61,4.153,3.953,4.499,4.299,8.335,8.135
AZTR,3043591.35,0.2122,3.031,2.831,2.912,2.712,4.788,4.588
BACK,467.3333333333333,0.05620000138878822,10.0,9.8,10.0,9.8,10.0,9.8
BATL,13488819.55,3.33,1.807,1.607,1.181,0.981,0.917,0.717
BBAI,24508027.85,3.7793,1.756,1.556,1.109,0.909,0.756,0.556
BBGI,3514653.1,19.74,1.771,1.571,1.13,0.93,0.803,0.603
BCG,1694739.05,1.9303,2.243,2.043,1.797,1.597,2.294,2.094
BDMD,355832.6,1.76,3.053,2.853,2.943,2.743,4.857,4.657
BDRX,6720381.9,3.48,1.871,1.671,1.272,1.072,1.12,0.92
BE,10131000.875,157.08999633789062,1.668,1.468,0.985,0.785,0.477,0.277
BFRG,33479853.9,1.0,1.828,1.628,1.211,1.011,0.985,0.785
BHAT,228810577.5,1.190000057220459,1.705,1.505,1.036,0.836,0.593,0.393
BIAF,5469501.05,2.8232,1.925,1.725,1.347,1.147,1.289,1.089
BIRD,16399074.9,11.2578,1.72,1.52,1.058,0.858,0.643,0.443
BIYA,66865.8,1.02,5.921,5.721,6.999,6.799,10.0,9.8
BJDX,377224.95,2.04,2.914,2.714,2.747,2.547,4.419,4.219
BNAI,534826.35,35.18,1.898,1.698,1.31,1.11,1.204,1.004
BRTX,2255740.8,0.262,3.123,2.923,3.043,2.843,5.079,4.879
BTAI,1005628.9,1.14,2.684,2.484,2.422,2.222,3.691,3.491
BTBD,2352745.55,2.1,2.132,1.932,1.64,1.44,1.944,1.744
