trial,pt,sl,tolerance,total_trades,win_rate,expectancy,profit_factor
68,13.4704,0.1305,0.01,141,0.3759,1.2038,6.6802
81,13.4635,0.1302,0.01,141,0.3759,1.2036,6.6727
62,13.3445,0.1267,0.01,141,0.3759,1.1998,6.5757
67,13.0278,0.1318,0.01,141,0.3759,1.1811,6.5905
71,13.2808,0.2102,0.01,141,0.3759,1.1482,8.5799
38,8.2093,0.1726,0.01,143,0.3986,1.1373,7.3207
77,5.9027,0.2014,0.01,144,0.4236,1.1368,7.9463
79,14.0954,0.1287,0.01,141,0.3688,1.135,5.1168
85,12.046,0.1316,0.01,141,0.3759,1.1324,6.332
74,12.9487,0.2108,0.01,141,0.3759,1.1313,8.4873
66,13.9161,0.131,0.01,141,0.3688,1.126,5.1121
63,13.8385,0.1269,0.01,141,0.3688,1.1252,5.0496
64,13.7491,0.1321,0.01,141,0.3688,1.1183,5.0951
78,13.5258,0.1279,0.01,141,0.3688,1.1113,5.0053
61,5.2253,0.1324,0.01,144,0.4236,1.0984,6.118
83,12.6073,0.2574,0.01,140,0.3786,1.0978,9.9061
3,11.7146,0.105,0.01,142,0.3662,1.0968,5.7178
95,10.3852,0.1888,0.01,141,0.383,1.0917,7.455
39,7.5788,0.1741,0.01,143,0.3986,1.088,7.0665
31,19.6165,0.1559,0.01,141,0.3688,1.0863,5.3148
69,14.075,0.2127,0.01,141,0.3688,1.0849,6.3418
58,5.0048,0.1131,0.01,144,0.4236,1.0843,6.637
82,13.0056,0.3221,0.01,140,0.3786,1.0825,13.6545
28,19.3402,0.1494,0.01,141,0.3688,1.0822,5.1966
34,11.3061,0.1618,0.01,141,0.3759,1.0781,6.7234
30,19.2943,0.156,0.01,141,0.3688,1.0771,5.275
20,10.8051,0.1219,0.01,141,0.3759,1.0765,5.8462
96,10.0925,0.1879,0.01,141,0.383,1.0757,7.33
76,13.8494,0.2154,0.01,141,0.3688,1.0737,6.3398
70,13.8195,0.2149,0.01,141,0.3688,1.0727,6.3241
